         525236 function calls (513044 primitive calls) in 6.050 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      686    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
     1833    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      611    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:841(create_module)
    611/4    0.002    0.000    6.048    1.512 <frozen importlib._bootstrap_external>:844(exec_module)
     5656    0.034    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
      611    0.006    0.000    0.293    0.000 <frozen importlib._bootstrap_external>:916(get_code)
       90    0.000    0.000    0.004    0.000 <frozen zipimport>:63(__init__)
        4    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        3    0.000    0.000    0.000    0.000 __about__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:81(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:83(__init__)
       81    0.002    0.000   14.305    0.177 __init__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:102(CFunctionType)
        1    0.000    0.000    0.000    0.000 __init__.py:1040(StreamHandler)
     12/3    0.000    0.000    1.180    0.393 __init__.py:109(import_module)
        1    0.000    0.000    0.050    0.050 __init__.py:11(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
        2    0.000    0.000    0.000    0.000 __init__.py:11(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1106(ExtractionError)
        1    0.000    0.000    0.000    0.000 __init__.py:111(PEP440Warning)
        1    0.000    0.000    0.000    0.000 __init__.py:1122(ResourceManager)
        1    0.000    0.000    0.000    0.000 __init__.py:1123(FileHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1126(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:113(DistutilsLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:115(create_module)
        1    0.000    0.000    0.000    0.000 __init__.py:116(Unresolved)
        2    0.000    0.000    0.000    0.000 __init__.py:119(exec_module)
        1    0.000    0.000    0.000    0.000 __init__.py:1194(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1218(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:122(EmptyDataError)
       10    0.000    0.000    0.000    0.000 __init__.py:1224(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:1230(append)
