filename,cell_count_low,cost_usd_low
inunriver_rcp4p5_model-mean_2080_rp01000.csv,165477,1246910400
inunriver_rcp8p5_00000NorESM1-M_2030_rp00100.csv,201148,1203894400
inunriver_rcp8p5_00000NorESM1-M_2030_rp00250.csv,203951,1432366400
inunriver_rcp8p5_00000NorESM1-M_2030_rp00500.csv,205239,1466018400
inunriver_rcp8p5_00000NorESM1-M_2030_rp01000.csv,207178,1518488400
inunriver_rcp8p5_00000NorESM1-M_2050_rp00100.csv,200978,1198424800
inunriver_rcp8p5_00000NorESM1-M_2050_rp00250.csv,203632,1421072000
inunriver_rcp8p5_00000NorESM1-M_2050_rp00500.csv,205134,1456830800
inunriver_rcp8p5_00000NorESM1-M_2050_rp01000.csv,206826,1566585200
inunriver_rcp8p5_00000NorESM1-M_2080_rp00100.csv,202242,1386324000
inunriver_rcp8p5_00000NorESM1-M_2080_rp00250.csv,204990,1465651600
inunriver_rcp8p5_00000NorESM1-M_2080_rp00500.csv,206909,1522821200
inunriver_rcp8p5_00000NorESM1-M_2080_rp01000.csv,209003,1558393200
inunriver_rcp8p5_0000GFDL-ESM2M_2030_rp00100.csv,202546,1342175200
inunriver_rcp8p5_0000GFDL-ESM2M_2030_rp00250.csv,205249,1482730000
inunriver_rcp8p5_0000GFDL-ESM2M_2030_rp00500.csv,207499,1563173600
inunriver_rcp8p5_0000GFDL-ESM2M_2030_rp01000.csv,209098,1614418000
inunriver_rcp8p5_0000GFDL-ESM2M_2050_rp00100.csv,203445,1436018000
inunriver_rcp8p5_0000GFDL-ESM2M_2050_rp00250.csv,206509,1531476800
inunriver_rcp8p5_0000GFDL-ESM2M_2050_rp00500.csv,208587,1610141600
inunriver_rcp8p5_0000GFDL-ESM2M_2050_rp01000.csv,210186,1654976800
inunriver_rcp8p5_0000GFDL-ESM2M_2080_rp00100.csv,203600,1454019200
inunriver_rcp8p5_0000GFDL-ESM2M_2080_rp00250.csv,206395,1559431200
inunriver_rcp8p5_0000GFDL-ESM2M_2080_rp00500.csv,209060,1617958800
inunriver_rcp8p5_0000GFDL-ESM2M_2080_rp01000.csv,210201,1648862800
inunriver_rcp8p5_0000HadGEM2-ES_2030_rp00100.csv,203949,1428861200
inunriver_rcp8p5_0000HadGEM2-ES_2030_rp00250.csv,206892,1543425200
inunriver_rcp8p5_0000HadGEM2-ES_2030_rp00500.csv,209944,1584971600
inunriver_rcp8p5_0000HadGEM2-ES_2030_rp01000.csv,212656,1650324400
inunriver_rcp8p5_0000HadGEM2-ES_2050_rp00100.csv,202474,1375089600
inunriver_rcp8p5_0000HadGEM2-ES_2050_rp00250.csv,205294,1465692000
inunriver_rcp8p5_0000HadGEM2-ES_2050_rp00500.csv,207433,1551673600
inunriver_rcp8p5_0000HadGEM2-ES_2050_rp01000.csv,209767,1610850800
inunriver_rcp8p5_0000HadGEM2-ES_2080_rp00100.csv,205025,1519833600
