climatescenario,subsidence_model,year,returnperiod,cell_count_low,cost_usd_low
rcp8p5,00000NorESM1-M,2030,rp00100.csv,24283,253702000
rcp8p5,00000NorESM1-M,2030,rp00250.csv,25202,262847200
rcp8p5,00000NorESM1-M,2030,rp00500.csv,25730,301999200
rcp8p5,00000NorESM1-M,2030,rp01000.csv,26455,349164000
rcp8p5,00000NorESM1-M,2050,rp00100.csv,24414,255978400
rcp8p5,00000NorESM1-M,2050,rp00250.csv,25393,270528000
rcp8p5,00000NorESM1-M,2050,rp00500.csv,26035,341509600
rcp8p5,00000NorESM1-M,2050,rp01000.csv,26881,353704800
rcp8p5,00000NorESM1-M,2080,rp00100.csv,24594,263504000
rcp8p5,00000NorESM1-M,2080,rp00250.csv,26053,307732000
rcp8p5,00000NorESM1-M,2080,rp00500.csv,26835,362330000
rcp8p5,00000NorESM1-M,2080,rp01000.csv,28565,410733200
rcp8p5,0000GFDL-ESM2M,2030,rp00100.csv,24397,253245600
rcp8p5,0000GFDL-ESM2M,2030,rp00250.csv,24942,297939200
rcp8p5,0000GFDL-ESM2M,2030,rp00500.csv,25722,340657600
rcp8p5,0000GFDL-ESM2M,2030,rp01000.csv,26419,354834000
rcp8p5,0000GFDL-ESM2M,2050,rp00100.csv,24312,252019200
rcp8p5,0000GFDL-ESM2M,2050,rp00250.csv,24764,262238800
rcp8p5,0000GFDL-ESM2M,2050,rp00500.csv,25592,297153200
rcp8p5,0000GFDL-ESM2M,2050,rp01000.csv,26301,346533200
rcp8p5,0000GFDL-ESM2M,2080,rp00100.csv,24253,230750800
rcp8p5,0000GFDL-ESM2M,2080,rp00250.csv,24573,293190400
rcp8p5,0000GFDL-ESM2M,2080,rp00500.csv,25536,307324800
rcp8p5,0000GFDL-ESM2M,2080,rp01000.csv,26174,345816800
rcp8p5,0000HadGEM2-ES,2030,rp00100.csv,24609,267711600
rcp8p5,0000HadGEM2-ES,2030,rp00250.csv,25645,300432800
rcp8p5,0000HadGEM2-ES,2030,rp00500.csv,26329,349130800
rcp8p5,0000HadGEM2-ES,2030,rp01000.csv,28134,393366400
rcp8p5,0000HadGEM2-ES,2050,rp00100.csv,24469,257199600
rcp8p5,0000HadGEM2-ES,2050,rp00250.csv,24720,269675600
rcp8p5,0000HadGEM2-ES,2050,rp00500.csv,25793,303638000
rcp8p5,0000HadGEM2-ES,2050,rp01000.csv,26179,344946400
rcp8p5,0000HadGEM2-ES,2080,rp00100.csv,24457,262466400
rcp8p5,0000HadGEM2-ES,2080,rp00250.csv,25651,299153200
rcp8p5,0000HadGEM2-ES,2080,rp00500.csv,26148,346865600
rcp8p5,0000HadGEM2-ES,2080,rp01000.csv,27005,361301200
rcp8p5,00IPSL-CM5A-LR,2030,rp00100.csv,24337,254409200
rcp8p5,00IPSL-CM5A-LR,2030,rp00250.csv,25238,265944800
rcp8p5,00IPSL-CM5A-LR,2030,rp00500.csv,25800,337712000
rcp8p5,00IPSL-CM5A-LR,2030,rp01000.csv,26671,351207600
rcp8p5,00IPSL-CM5A-LR,2050,rp00100.csv,24363,253899600
rcp8p5,00IPSL-CM5A-LR,2050,rp00250.csv,25398,265093200
rcp8p5,00IPSL-CM5A-LR,2050,rp00500.csv,25958,338797600
rcp8p5,00IPSL-CM5A-LR,2050,rp01000.csv,26636,350834000
rcp8p5,00IPSL-CM5A-LR,2080,rp00100.csv,24394,254480800
rcp8p5,00IPSL-CM5A-LR,2080,rp00250.csv,25447,269046400
rcp8p5,00IPSL-CM5A-LR,2080,rp00500.csv,25932,339088000
rcp8p5,00IPSL-CM5A-LR,2080,rp01000.csv,26808,351332000
rcp8p5,MIROC-ESM-CHEM,2030,rp00100.csv,25965,308080800
rcp8p5,MIROC-ESM-CHEM,2030,rp00250.csv,27701,357350400
rcp8p5,MIROC-ESM-CHEM,2030,rp00500.csv,29151,413397600
rcp8p5,MIROC-ESM-CHEM,2030,rp01000.csv,29953,493451600
rcp8p5,MIROC-ESM-CHEM,2050,rp00100.csv,27853,358124000
rcp8p5,MIROC-ESM-CHEM,2050,rp00250.csv,29226,442971200
rcp8p5,MIROC-ESM-CHEM,2050,rp00500.csv,30817,502268800
rcp8p5,MIROC-ESM-CHEM,2050,rp01000.csv,33286,547466000
rcp8p5,MIROC-ESM-CHEM,2080,rp00100.csv,26315,325239600
rcp8p5,MIROC-ESM-CHEM,2080,rp00250.csv,28805,379865600
rcp8p5,MIROC-ESM-CHEM,2080,rp00500.csv,29803,442384400
rcp8p5,MIROC-ESM-CHEM,2080,rp01000.csv,31370,522757200
rcp8p5,model-mean,2030,rp00100.csv,19406,200226000
rcp8p5,model-mean,2030,rp00250.csv,20731,233080400
rcp8p5,model-mean,2030,rp00500.csv,21782,271082400
rcp8p5,model-mean,2030,rp01000.csv,22397,300286000
rcp8p5,model-mean,2050,rp00100.csv,20823,210362800
rcp8p5,model-mean,2050,rp00250.csv,21804,239869600
rcp8p5,model-mean,2050,rp00500.csv,22996,278287200
rcp8p5,model-mean,2050,rp01000.csv,24780,312366800
rcp8p5,model-mean,2080,rp00100.csv,19797,207173600
rcp8p5,model-mean,2080,rp00250.csv,21618,240726800
rcp8p5,model-mean,2080,rp00500.csv,22367,276963200
rcp8p5,model-mean,2080,rp01000.csv,23361,306133600
