,gid_id,mean_cell_count_baseline,cost_usd_baseline
4925,USA.15.52_1,5.0,62500.0
4926,USA.15.53_1,16.5,487497.5
4927,USA.15.55_1,8.0,170836.0
4928,USA.15.56_1,23.5,547507.5
4929,USA.15.57_1,21.0,191661.0
4930,USA.15.58_1,3.0,37500.0
4931,USA.15.59_1,7.0,226665.0
4932,USA.15.61_1,6.0,145002.0
4933,USA.15.62_1,2.0,60000.0
4934,USA.15.63_1,7.5,214999.5
4935,USA.15.64_1,6.0,75000.0
4936,USA.15.65_1,245.0,2041585.0
4937,USA.15.66_1,11.5,300832.5
4938,USA.15.67_1,6.0,100002.0
4939,USA.15.72_1,8.5,143334.5
4940,USA.15.73_1,43.0,537500.0
4941,USA.15.75_1,10.5,273333.5
4942,USA.15.76_1,14.5,120828.5
4943,USA.15.78_1,2.0,38334.0
4944,USA.15.79_1,3.0,99999.0
4945,USA.15.80_1,58.0,1761661.0
4946,USA.15.83_1,4.5,61666.5
4947,USA.15.84_1,5.0,123334.0
4948,USA.15.85_1,14.0,260838.0
4949,USA.15.87_1,1.0,16667.0
4950,USA.15.88_1,8.0,211666.0
4951,USA.15.89_1,6.0,81667.0
4952,USA.15.8_1,11.5,374996.5
4953,USA.15.91_1,1.0,24167.0
4954,USA.15.92_1,4.0,58334.0
4955,USA.15.9_1,26.5,831658.5
4956,USA.16.10_1,3.5,76667.5
4957,USA.16.12_1,7.0,134168.0
4958,USA.16.16_1,2.0,60000.0
4959,USA.16.18_1,3.0,65001.0
4960,USA.16.19_1,1.0,8333.0
4961,USA.16.21_1,9.0,140001.0
4962,USA.16.22_1,4.0,103334.0
4963,USA.16.23_1,12.0,222504.0
4964,USA.16.25_1,14.0,315004.0
4965,USA.16.29_1,1.0,21667.0
4966,USA.16.31_1,8.0,245831.0
4967,USA.16.34_1,6.5,117501.5
4968,USA.16.36_1,54.0,1315002.0
4969,USA.16.37_1,1.0,24167.0
4970,USA.16.3_1,1.0,24167.0
4971,USA.16.43_1,28.0,553342.0
4972,USA.16.44_1,3.0,55001.0
4973,USA.16.46_1,2.0,53334.0
4974,USA.16.48_1,10.0,225003.0
4975,USA.16.49_1,6.5,137501.5
4976,USA.16.50_1,19.5,536667.5
4977,USA.16.51_1,3.0,50001.0
4978,USA.16.52_1,11.5,286668.5
4979,USA.16.53_1,4.5,67500.5
4980,USA.16.55_1,2.0,43334.0
4981,USA.16.56_1,5.5,153332.5
4982,USA.16.57_1,49.0,1300004.0
4983,USA.16.58_1,3.0,70001.0
4984,USA.16.60_1,2.0,43334.0
4985,USA.16.62_1,6.0,193332.0
4986,USA.16.63_1,3.0,80000.0
4987,USA.16.64_1,4.5,102501.5
4988,USA.16.65_1,59.5,1233352.5
4989,USA.16.67_1,6.0,140002.0
4990,USA.16.68_1,1.0,25000.0
4991,USA.16.69_1,1.0,16667.0
4992,USA.16.6_1,4.0,111667.0
4993,USA.16.70_1,16.0,385004.0
4994,USA.16.73_1,2.0,25000.0
4995,USA.16.74_1,3.0,80001.0
4996,USA.16.75_1,7.0,131669.0
4997,USA.16.77_1,196.0,4762519.0
4998,USA.16.78_1,199.5,4098393.5
4999,USA.16.7_1,89.5,1805853.5
5000,USA.16.82_1,33.0,675010.0
5001,USA.16.84_1,2.0,33334.0
5002,USA.16.85_1,10.5,272501.5
5003,USA.16.86_1,5.0,115835.0
5004,USA.16.89_1,5.0,148332.0
5005,USA.16.8_1,2.0,55000.0
5006,USA.16.90_1,16.0,478329.0
5007,USA.16.91_1,3.0,90000.0
5008,USA.16.92_1,1.0,19167.0
5009,USA.16.94_1,2.0,66666.0
5010,USA.16.97_1,18.5,391672.5
5011,USA.16.99_1,1.0,16667.0
5012,USA.16.9_1,16.5,293337.5
5013,USA.17.103_1,3.5,82500.5
5014,USA.17.105_1,143.0,4448300.0
5015,USA.17.10_1,28.0,536676.0
5016,USA.17.11_1,20.0,499170.0
5017,USA.17.15_1,3.0,99999.0
5018,USA.17.16_1,1.0,16667.0
5019,USA.17.18_1,11.5,292503.5
5020,USA.17.1_1,1.0,26667.0
5021,USA.17.20_1,4.0,60834.0
5022,USA.17.21_1,7.0,233331.0
5023,USA.17.22_1,13.0,295836.0
5024,USA.17.23_1,21.0,631663.0
5025,USA.17.24_1,2.0,33334.0
5026,USA.17.27_1,1.5,41666.5
5027,USA.17.28_1,4.0,45833.0
5028,USA.17.29_1,7.0,116669.0
5029,USA.17.30_1,1.0,21667.0
5030,USA.17.31_1,48.0,1579151.0
5031,USA.17.35_1,2.0,33334.0
5032,USA.17.37_1,1.0,12500.0
5033,USA.17.38_1,5.0,62500.0
5034,USA.17.40_1,2.5,24999.5
5035,USA.17.42_1,1.0,19167.0
5036,USA.17.44_1,8.5,257498.5
5037,USA.17.46_1,2.0,66666.0
5038,USA.17.47_1,3.0,37500.0
5039,USA.17.50_1,2.0,20833.0
5040,USA.17.52_1,9.0,233334.0
5041,USA.17.53_1,1.0,30000.0
5042,USA.17.54_1,4.5,90834.5
