iso3,hazard,climate_scenario,model,year,return_period,percentile,min_depth,mean_depth,max_depth,flooded_area_km2,continent
AGO,inuncoast,rcp8p5,wtsub,2080,rp0500,0,0.02,0.6322559410280715,1.9719135,0,Africa
AGO,inuncoast,rcp8p5,wtsub,2080,rp1000,0,0.01,0.6547209755295799,2.002515,0,Africa
ALB,inuncoast,historical,wtsub,hist,rp0100,0,0.0,1.274734457005311,6.21539,0,Europe
ALB,inuncoast,historical,wtsub,hist,rp0250,0,0.01,1.2818284284588104,6.2226667,0,Europe
ALB,inuncoast,historical,wtsub,hist,rp0500,0,0.02,1.2871849097518764,6.228161,0,Europe
ALB,inuncoast,historical,wtsub,hist,rp1000,0,0.02,1.2925375445544147,6.233651,0,Europe
ALB,inuncoast,rcp4p5,wtsub,2030,rp0100,0,0.0,1.3611911220460895,6.46809,0,Europe
ALB,inuncoast,rcp4p5,wtsub,2030,rp0250,0,0.0,1.3634026773345784,6.4753666,0,Europe
ALB,inuncoast,rcp4p5,wtsub,2030,rp0500,0,0.0,1.3639801131643017,6.4808607,0.001,Europe
ALB,inuncoast,rcp4p5,wtsub,2030,rp1000,0,0.0,1.365045546164696,6.486351,0.001,Europe
ALB,inuncoast,rcp4p5,wtsub,2050,rp0100,0,0.0,1.4533803997485912,6.6343904,0.001,Europe
ALB,inuncoast,rcp4p5,wtsub,2050,rp0250,0,0.0,1.452616852991145,6.641667,0.001,Europe
ALB,inuncoast,rcp4p5,wtsub,2050,rp0500,0,0.0,1.456647728594771,6.647161,0.001,Europe
ALB,inuncoast,rcp4p5,wtsub,2050,rp1000,0,0.01,1.4597443617590646,6.6526513,0.001,Europe
ALB,inuncoast,rcp4p5,wtsub,2080,rp0100,0,0.0,1.637210846574978,6.9608903,0.001,Europe
ALB,inuncoast,rcp4p5,wtsub,2080,rp0250,0,0.01,1.644461779177443,6.968167,0.001,Europe
ALB,inuncoast,rcp4p5,wtsub,2080,rp0500,0,0.02,1.6499368176468994,6.973661,0.001,Europe
ALB,inuncoast,rcp4p5,wtsub,2080,rp1000,0,0.0,1.651310916260688,6.9791512,0.001,Europe
ALB,inuncoast,rcp8p5,wtsub,2030,rp0100,0,0.0,1.3670006936257986,6.49759,0.001,Europe
ALB,inuncoast,rcp8p5,wtsub,2030,rp0250,0,0.0,1.3662593801658216,6.5048666,0.001,Europe
ALB,inuncoast,rcp8p5,wtsub,2030,rp0500,0,0.01,1.3690315914913935,6.5103607,0.001,Europe
ALB,inuncoast,rcp8p5,wtsub,2030,rp1000,0,0.0,1.3711959624990602,6.515851,0.001,Europe
ALB,inuncoast,rcp8p5,wtsub,2050,rp0100,0,0.0,1.478055048626423,6.6782904,0.001,Europe
ALB,inuncoast,rcp8p5,wtsub,2050,rp0250,0,0.0,1.4645123358106336,6.685567,0.001,Europe
ALB,inuncoast,rcp8p5,wtsub,2050,rp0500,0,0.0,1.469887120158695,6.691061,0.001,Europe
ALB,inuncoast,rcp8p5,wtsub,2050,rp1000,0,0.0,1.4732820105031914,6.6965513,0.001,Europe
ALB,inuncoast,rcp8p5,wtsub,2080,rp0100,0,0.02,1.7498706679751996,7.14369,0.001,Europe
ALB,inuncoast,rcp8p5,wtsub,2080,rp0250,0,0.0,1.7509952240335642,7.1509666,0.001,Europe
ALB,inuncoast,rcp8p5,wtsub,2080,rp0500,0,0.01,1.7543322983421068,7.156461,0.001,Europe
